Place,Deck,Pilot,deck_id,PC1,PC2
6th,4c Omnath,ziyanghuakai,4417693,4.66258427880744,4.65046641557719
7th,4c Omnath,bobthedog,4417694,4.38852166740166,4.69318742286312
8th,Prowess,gabrylele91,4417695,-1.14168533211999,-1.79701939782809
1st,Indomitable Creativity,Manacymbal,4416789,3.82424069960238,2.55347843880994
2nd,Living End,bellfy,4416790,1.82304045065399,4.15452799880606
3rd,Grixis Control,Heir_of_Elendil15,4416791,0.416920928503359,-4.71894220415486
4th,Azorius Control,koko_lopez,4416792,6.43234303660781,4.74099338730124
5th,Rakdos Midrange,aspiringspike,4416793,-1.39164662897153,-5.93159191956878
6th,Grixis Death's Shadow,twinlesstwin,4416794,0.428867383468597,-5.09456935181394
7th,Azorius Control,Callad0,4416795,6.11591618354384,4.48083744926133
8th,Amulet Titan,Nade,4416796,-7.43450386360298,5.1790672866171
1st,Hammer Time,CrusherBotBG,4399857,-3.0812196851267,-7.3270596441039
2nd,Belcher,ZYX_Jerry,4399858,-3.19642735656812,2.97058222388428
3rd,4c Blink,Jaberwocki,4399859,5.60264755755759,4.82574373367299
4th,Hammer Time,TicklemeTarantino,4399860,-3.03569184779899,-7.04785012659311
5th,Burn,frakom,4399861,0.400788093769207,-3.67150040954386
6th,Murktide Regent,swff,4399862,2.53826975115927,-0.864102583220688
7th,Crashing Footfalls,Wizard_2002,4399863,2.22548898125681,3.9588973369474
8th,Amulet Titan,Piccio36,4399864,-9.51618592219253,5.95891671062679
1st,Murktide Regent,Do0mSwitch,4397738,2.55593815504303,-0.91200756432774
2nd,Amulet Titan,bigjc00,4397739,-8.33994376820468,5.80204461272632
3rd,Murktide Regent,oskiyaa,4397740,2.64693300019435,-0.621861496069821
4th,Dimir Mill,JUJUBEAN__2004,4397741,1.14590486962087,-4.57315131805063
5th,Murktide Regent,bstee,4397742,2.43859885530717,-1.32693883947544
6th,Grixis Death's Shadow,ModoBaggins,4397743,0.702852864929586,-4.75367241260885
7th,4c Blink,scipios,4397744,5.9135728826788,5.47968077571106
8th,Yawgmoth,DemonicTutors,4397745,-15.3749636094741,9.08447028917747
1st,4c Living End,gabrylele91,4383538,1.62962853175217,3.77350616842172
2nd,Hammer Time,HappySandwich,4383539,-2.83535840045044,-7.1084133994156
3rd,Jund,GodOfSlaughter,4383540,-1.53777601195649,-4.38709956022095
4th,4c Blink,moksha,4383541,5.9135728826788,5.47968077571106
5th,Burn,_Takeno_,4383542,0.545269827891403,-3.15270145327658
6th,Burn,Aliquanto,4383543,0.340139158091521,-3.6041685556798
7th,4c Blink,ZYURYO,4383544,4.99128425623957,5.17500095803206
8th,4c Blink,swff,4383545,5.75963559121198,5.57091337658268
1st,Reanimator,aspiringspike,4383734,1.19614103122134,-0.436701895492046
2nd,Crashing Footfalls,D00mwake,4383735,4.55975564389517,6.49285011776578
3rd,4c Blink,kanister,4383736,5.78617010600669,5.56479034435978
4th,Hammer Time,CrusherBotBG,4383737,-3.27851395550028,-7.69811892320128
5th,Yawgmoth,DemonicTutors,4383738,-15.0447470777842,9.05622558020797
6th,Crashing Footfalls,ETW4TheWin,4383739,2.25552098575285,4.22647412455141
7th,4c Blink,sneakymisato,4383740,5.55673176396059,5.68570880750321
8th,Affinity,Zeekery,4383741,-3.83093039699261,-6.98641439391031
1st,Belcher,Sodeq,4369694,-3.23109843872233,3.13657743566645
2nd,Azorius Control,Benni_R,4369695,6.61242038707194,4.73990015686927
3rd,Jeskai Stoneblade,Parrotlet,4369696,2.72137316606498,1.19319414786977
4th,Azorius Control,kanister,4369697,6.38391585144412,4.62284415327792
5th,4c Living End,Cuzant,4369698,1.462487297598,3.81101701960114
